platformBlocks
-75, 575, 12, <null>, <null>,
20775, 575, 12, <null>, <null>,
20925, 575, 12, <null>, <null>,
21075, 575, 12, <null>, <null>,
21225, 575, 12, <null>, <null>,
21375, 575, 12, <null>, <null>,
21525, 575, 12, <null>, <null>,
21675, 575, 12, <null>, <null>,
21825, 575, 12, <null>, <null>,
21975, 575, 12, <null>, <null>,
22125, 575, 12, <null>, <null>,
22275, 575, 12, <null>, <null>,
22425, 575, 12, <null>, <null>,
22575, 575, 12, <null>, <null>,
22725, 575, 12, <null>, <null>,
22875, 575, 12, <null>, <null>,
23025, 575, 12, <null>, <null>,
23175, 575, 12, <null>, <null>,
23325, 575, 12, <null>, <null>,
23475, 575, 12, <null>, <null>,
23625, 575, 12, <null>, <null>,
23775, 575, 12, <null>, <null>,
23925, 575, 12, <null>, <null>,
24075, 575, 12, <null>, <null>,
24225, 575, 12, <null>, <null>,
24375, 575, 12, <null>, <null>,
24525, 575, 12, <null>, <null>,
24675, 575, 12, <null>, <null>,
24825, 575, 12, <null>, <null>,
24975, 575, 12, <null>, <null>,
25125, 575, 12, <null>, <null>,
25275, 575, 12, <null>, <null>,
25425, 575, 12, <null>, <null>,
25575, 575, 12, <null>, <null>,
25725, 575, 12, <null>, <null>,
25875, 575, 12, <null>, <null>,
26025, 575, 12, <null>, <null>,
26175, 575, 12, <null>, <null>,
26325, 575, 12, <null>, <null>,
26475, 575, 12, <null>, <null>,
26625, 575, 12, <null>, <null>,
26775, 575, 12, <null>, <null>,
26925, 575, 12, <null>, <null>,
27075, 575, 12, <null>, <null>,
27225, 575, 12, <null>, <null>,
27375, 575, 12, <null>, <null>,
27525, 575, 12, <null>, <null>,
27675, 575, 12, <null>, <null>,
27825, 575, 12, <null>, <null>,
27975, 575, 12, <null>, <null>,
28125, 575, 12, <null>, <null>,
28275, 575, 12, <null>, <null>,
28425, 575, 12, <null>, <null>,
28575, 575, 12, <null>, <null>,
28725, 575, 12, <null>, <null>,
28875, 575, 12, <null>, <null>,
29025, 575, 12, <null>, <null>,
29175, 575, 12, <null>, <null>,
29325, 575, 12, <null>, <null>,
29475, 575, 12, <null>, <null>,
29625, 575, 12, <null>, <null>,
29775, 575, 12, <null>, <null>,
29925, 575, 12, <null>, <null>,
30075, 575, 12, <null>, <null>,
30225, 575, 12, <null>, <null>,
30375, 575, 12, <null>, <null>,
30525, 575, 12, <null>, <null>,
30675, 575, 12, <null>, <null>,
30825, 575, 12, <null>, <null>,
30975, 575, 12, <null>, <null>,
31125, 575, 12, <null>, <null>,
31275, 575, 12, <null>, <null>,
31425, 575, 12, <null>, <null>,
31575, 575, 12, <null>, <null>,
31725, 575, 12, <null>, <null>,
31875, 575, 12, <null>, <null>,
32025, 575, 12, <null>, <null>,
32175, 575, 12, <null>, <null>,
32325, 575, 12, <null>, <null>,
32475, 575, 12, <null>, <null>,
32625, 575, 12, <null>, <null>,
32775, 575, 12, <null>, <null>,
32925, 575, 12, <null>, <null>,
33075, 575, 12, <null>, <null>,
33225, 575, 12, <null>, <null>,
33525, 575, 12, <null>, <null>,
33375, 575, 12, <null>, <null>,
33675, 575, 12, <null>, <null>,
33825, 575, 12, <null>, <null>,
33975, 575, 12, <null>, <null>,
34125, 575, 12, <null>, <null>,
34275, 575, 12, <null>, <null>,
34425, 575, 12, <null>, <null>,
34575, 575, 12, <null>, <null>,
34750, 575, 12, <null>, <null>,
34725, 575, 12, <null>, <null>,
36075, 575, 12, <null>, <null>,
36225, 575, 12, <null>, <null>,
36375, 575, 12, <null>, <null>,
36525, 575, 12, <null>, <null>,
36675, 575, 12, <null>, <null>,
36825, 575, 12, <null>, <null>,
36975, 575, 12, <null>, <null>,
37125, 575, 12, <null>, <null>,
35025, 575, 12, <null>, <null>,
34800, 575, 12, <null>, <null>,
35100, 575, 12, <null>, <null>,
35325, 575, 12, <null>, <null>,
35400, 575, 12, <null>, <null>,
35625, 575, 12, <null>, <null>,
35700, 575, 12, <null>, <null>,
35925, 575, 12, <null>, <null>,
37275, 575, 12, <null>, <null>,
37425, 575, 12, <null>, <null>,
37575, 575, 12, <null>, <null>,
37725, 575, 12, <null>, <null>,
37875, 575, 12, <null>, <null>,
38025, 575, 12, <null>, <null>,
38175, 575, 12, <null>, <null>,
38325, 575, 12, <null>, <null>,
38475, 575, 12, <null>, <null>,
38625, 575, 12, <null>, <null>,
38775, 575, 12, <null>, <null>,
38925, 575, 12, <null>, <null>,
39075, 575, 12, <null>, <null>,
39225, 575, 12, <null>, <null>,
39375, 575, 12, <null>, <null>,
39525, 575, 12, <null>, <null>,
39675, 575, 12, <null>, <null>,
39825, 575, 12, <null>, <null>,
39975, 575, 12, <null>, <null>,
40125, 575, 12, <null>, <null>,
40275, 575, 12, <null>, <null>,
40425, 575, 12, <null>, <null>,
40575, 575, 12, <null>, <null>,
40725, 575, 12, <null>, <null>,
40875, 575, 12, <null>, <null>,
41025, 575, 12, <null>, <null>,
41175, 575, 12, <null>, <null>,
41325, 575, 12, <null>, <null>,
41475, 575, 12, <null>, <null>,
41625, 575, 12, <null>, <null>,
41775, 575, 12, <null>, <null>,
41925, 575, 12, <null>, <null>,
975, 575, 12, <null>, <null>,
actionIndicators
playerCheckpoints
16050, 525,
19200, 525,
26850, 525,
31650, 525,
36450, 525,
41400, 500,
player
0, 526.06689453125,
enemies
9600, 525,
10200, 525,
10800, 525,
11400, 525,
12000, 525,
12600, 525,
13200, 525,
13800, 525,
24000, 525,
24300, 525,
24600, 525,
24900, 525,
25200, 525,
25500, 525,
25800, 525,
26100, 525,
33750, 450,
34050, 450,
34350, 450,
34650, 450,
34950, 450,
35250, 450,
35550, 450,
35850, 450,
killFloors
35075, 650,
35875, 650,
18275, 650,
17150, 650,
goalBlocks
41950, 525,
breakableWalls
40900, 275,
ziplines
placers
slideWalls
28875, 500,
29175, 500,
29475, 500,
29775, 500,
30075, 500,
30375, 500,
30675, 500,
30975, 500,
powerups
jumpBoosts
coins
