platformBlocks
-75, 575, 12, <null>, <null>,
11325, 575, 12, <null>, <null>,
11475, 575, 12, <null>, <null>,
11625, 575, 12, <null>, <null>,
11775, 575, 12, <null>, <null>,
11925, 575, 12, <null>, <null>,
14475, 575, 12, <null>, <null>,
14625, 575, 12, <null>, <null>,
14775, 575, 12, <null>, <null>,
19875, 50, 12, <null>, <null>,
20025, 50, 12, <null>, <null>,
20175, 50, 12, <null>, <null>,
20325, 50, 12, <null>, <null>,
15825, 50, 12, <null>, <null>,
22875, 50, 12, <null>, <null>,
23025, 50, 12, <null>, <null>,
23175, 50, 12, <null>, <null>,
23325, 50, 12, <null>, <null>,
23475, 50, 12, <null>, <null>,
23625, 50, 12, <null>, <null>,
23775, 50, 12, <null>, <null>,
23925, 50, 12, <null>, <null>,
actionIndicators
playerCheckpoints
15000, 500,
player
0, 540,
enemies
3300, 525, enemy,
3000, 525, enemy,
2700, 525, enemy,
2400, 525, enemy,
8400, 450, enemy,
8700, 450, enemy,
9000, 450, enemy,
9300, 450, enemy,
9600, 450, enemy,
9900, 450, enemy,
10200, 450, enemy,
10500, 450, enemy,
18600, 0, enemy,
18650, 0, enemy,
18700, 0, enemy,
18750, 0, enemy,
18900, 0, enemy,
19100, 0, enemy,
18800, 0, enemy,
18850, 0, enemy,
19000, 0, enemy,
19050, 0, enemy,
18950, 0, enemy,
killFloors
16050, 600,
9900, 625,
10500, 625,
6100, 625,
7025, 625,
goalBlocks
breakableWalls
ziplines
placers
slideWalls
12075, 475,
12675, 475,
13275, 475,
13875, 475,
powerups
18000, -25,
jumpBoosts
15450, 425,
coins
12225, 450,
12825, 450,
13425, 450,
14025, 450,
keyBindings
3000, 350, punch,
3300, 350, punch,
2400, 350, punch,
2700, 350, punch,
6000, 375, jump,
6300, 375, jump,
6600, 375, jump,
6900, 375, jump,
11950, 375, slide,
12550, 375, slide,
13125, 375, slide,
15450, 300, jump,
21000, -175, punch,
21075, -175, punch,
21150, -175, punch,
21225, -175, punch,
21300, -175, punch,
21375, -175, punch,
21450, -175, punch,
21525, -175, punch,
18600, -199.999938964844, punch,
21600, -174.999938964844, punch,
skips
mashes
21000, 0, 21600, 0,
holds
moveLines
